long 16.9933965555556 lat 46.4641323333333 viewpoint 180 degrees.jpeg,Sky 94,Cloud 93,Infrastructure 90,Road surface 88,Asphalt 87,Window 85,Mode of transport 85,Graphics software 84,Biome 83,Urban design 83
long 16.9933965555556 lat 46.4641323333333 viewpoint 270 degrees.jpeg,Wheel 97,Tire 96,Land vehicle 96,Building 96,Vehicle 95,Property 95,Window 94,Car 91,House 89,Plant 88
long 16.9933965555556 lat 46.4641323333333 viewpoint 90 degrees.jpeg,Window 95,Building 89,Wood 85,Font 82,Line 82,Rectangle 80,Facade 78,Screenshot 73,Room 64,Sash window 63
long 16.99340082 lat 46.46570574 viewpoint 0 degrees.jpeg,Photograph 94,Sky 92,Window 92,Cloud 90,Lighting 87,Asphalt 86,Urban design 85,Screenshot 84,Line 82,Font 82
long 16.99340082 lat 46.46570574 viewpoint 180 degrees.jpeg,Cloud 96,Sky 93,Plant 93,Asphalt 88,Road surface 87,Land lot 84,Graphics software 83,Screenshot 83,Tree 83,Biome 82
long 16.99340082 lat 46.46570574 viewpoint 270 degrees.jpeg,Sky 96,Plant 95,Ecoregion 93,Nature 90,Cloud 88,Land lot 86,Tree 84,Biome 83,Building 83,Line 82
long 16.99340082 lat 46.46570574 viewpoint 90 degrees.jpeg,Cloud 97,Sky 96,Car 92,Wheel 91,Infrastructure 89,Tire 89,Asphalt 88,Road surface 88,Building 87,Urban design 85
long 16.9934022666667 lat 46.4641530333333 viewpoint 0 degrees.jpeg,Sky 93,Window 92,Infrastructure 90,Cloud 89,Asphalt 88,Building 88,Road surface 88,Urban design 85,Mode of transport 85,Font 84
long 16.9934022666667 lat 46.4641530333333 viewpoint 180 degrees.jpeg,Sky 94,Cloud 93,Infrastructure 90,Road surface 88,Asphalt 87,Window 85,Mode of transport 85,Graphics software 84,Biome 83,Urban design 83
long 16.9934022666667 lat 46.4641530333333 viewpoint 270 degrees.jpeg,Wheel 97,Tire 96,Land vehicle 96,Building 96,Vehicle 95,Property 95,Window 94,Car 91,House 89,Plant 88
long 16.9934022666667 lat 46.4641530333333 viewpoint 90 degrees.jpeg,Window 95,Building 89,Wood 85,Font 82,Line 82,Rectangle 80,Facade 78,Screenshot 73,Room 64,Sash window 63
long 16.9934035 lat 46.4653396666667 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 94,Asphalt 89,Road surface 88,Land lot 85,Tree 84,Urban design 83,Screenshot 82,Line 82
