long 16.992164 lat 46.448739 viewpoint 0 degrees.jpeg,Sky 96,Cloud 94,Photograph 94,Street light 91,Infrastructure 90,Road surface 89,Asphalt 87,Window 87,Tree 86,Urban design 84
long 16.9953955833333 lat 46.4484313333333 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9953969215686 lat 46.4485800261438 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.9953969215686 lat 46.4485800261438 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.9953969215686 lat 46.4485800261438 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.9953969215686 lat 46.4485800261438 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9953982 lat 46.4487370666667 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.9953982 lat 46.4487370666667 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.9953982 lat 46.4487370666667 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.9953982 lat 46.4487370666667 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.99541045 lat 46.4485548 viewpoint 0 degrees.jpeg,Plant 95,Ecoregion 92,Leaf 90,Nature 90,Natural landscape 90,Natural environment 89,Tree 88,Branch 88,Organism 86,Vegetation 85
long 16.99541045 lat 46.4485548 viewpoint 180 degrees.jpeg,Sky 93,World 93,Light 91,Tree 88,Plant 86,Biome 85,Urban design 81,Screenshot 80,Asphalt 80,Font 79
long 16.99541045 lat 46.4485548 viewpoint 270 degrees.jpeg,Plant 96,Sky 93,Nature 90,Infrastructure 89,Asphalt 88,Tree 88,Road surface 87,Natural landscape 85,Biome 83,Woody plant 81
long 16.99541045 lat 46.4485548 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Infrastructure 90,Nature 90,Tree 89,Asphalt 89,Road surface 88,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9954201111111 lat 46.4485801481481 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.9954201111111 lat 46.4485801481481 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.9954201111111 lat 46.4485801481481 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.9954201111111 lat 46.4485801481481 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9954218461538 lat 46.4484386153846 viewpoint 0 degrees.jpeg,Plant 95,Ecoregion 92,Natural landscape 91,Leaf 90,Botany 90,Natural environment 89,Tree 89,Branch 87,Organism 86,Vegetation 86
long 16.9954218461538 lat 46.4484386153846 viewpoint 180 degrees.jpeg,Sky 93,World 93,Light 91,Tree 88,Biome 85,Plant 83,Urban design 82,Asphalt 80,Building 79,Screenshot 79
long 16.9954218461538 lat 46.4484386153846 viewpoint 270 degrees.jpeg,Plant 96,Sky 94,Nature 90,Tree 89,Asphalt 87,Road surface 87,Natural landscape 84,Thoroughfare 83,Biome 83,Woody plant 81
long 16.9954218461538 lat 46.4484386153846 viewpoint 90 degrees.jpeg,Plant 94,Photograph 94,Infrastructure 90,Sky 90,Nature 90,Tree 90,Asphalt 89,Motor vehicle 88,Road surface 88,Natural landscape 84
long 16.9954252666667 lat 46.4484313333333 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.9954252666667 lat 46.4484313333333 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.9954252666667 lat 46.4484313333333 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.9954252666667 lat 46.4484313333333 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9954255555556 lat 46.4486595555556 viewpoint 0 degrees.jpeg,Plant 95,Ecoregion 92,Leaf 90,Nature 90,Natural landscape 90,Natural environment 89,Tree 88,Branch 88,Organism 86,Vegetation 85
long 16.9954255555556 lat 46.4486595555556 viewpoint 180 degrees.jpeg,Sky 93,World 93,Light 91,Tree 88,Plant 86,Biome 85,Urban design 81,Screenshot 80,Asphalt 80,Font 79
long 16.9954255555556 lat 46.4486595555556 viewpoint 270 degrees.jpeg,Plant 96,Sky 93,Nature 90,Infrastructure 89,Asphalt 88,Tree 88,Road surface 87,Natural landscape 85,Biome 83,Woody plant 81
long 16.9954255555556 lat 46.4486595555556 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Infrastructure 90,Nature 90,Tree 89,Asphalt 89,Road surface 88,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9954293090909 lat 46.4484227272727 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.9954293090909 lat 46.4484227272727 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.9954293090909 lat 46.4484227272727 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.9954293090909 lat 46.4484227272727 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.99543416 lat 46.4484124 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.99543416 lat 46.4484124 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.99543416 lat 46.4484124 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.99543416 lat 46.4484124 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9954342946429 lat 46.4485772857143 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Tree 89,Branch 88,Organism 86,Vegetation 86
long 16.9954342946429 lat 46.4485772857143 viewpoint 180 degrees.jpeg,Sky 94,World 93,Tree 88,Biome 84,Building 82,Screenshot 80,Plant 80,Urban design 79,Font 79,Graphics software 77
long 16.9954342946429 lat 46.4485772857143 viewpoint 270 degrees.jpeg,Plant 96,Sky 95,Nature 90,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Thoroughfare 83,Biome 83,Natural landscape 82
long 16.9954342946429 lat 46.4485772857143 viewpoint 90 degrees.jpeg,Photograph 94,Plant 94,Infrastructure 90,Tree 90,Asphalt 89,Road surface 89,Sky 87,Motor vehicle 86,Biome 84,Thoroughfare 83
long 16.9954363833333 lat 46.4484076666667 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.9954363833333 lat 46.4484076666667 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.9954363833333 lat 46.4484076666667 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.9954363833333 lat 46.4484076666667 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9954379607843 lat 46.4486925228758 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.9954379607843 lat 46.4486925228758 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.9954379607843 lat 46.4486925228758 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.9954379607843 lat 46.4486925228758 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9954380192308 lat 46.4485227692308 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.9954380192308 lat 46.4485227692308 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.9954380192308 lat 46.4485227692308 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.9954380192308 lat 46.4485227692308 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9954388977273 lat 46.4486743636364 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.9954388977273 lat 46.4486743636364 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.9954388977273 lat 46.4486743636364 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.9954388977273 lat 46.4486743636364 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9954400888889 lat 46.4483997777778 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.9954400888889 lat 46.4483997777778 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.9954400888889 lat 46.4483997777778 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.9954400888889 lat 46.4483997777778 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.995443962963 lat 46.4486455308642 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.995443962963 lat 46.4486455308642 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.995443962963 lat 46.4486455308642 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.995443962963 lat 46.4486455308642 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9954475 lat 46.448384 viewpoint 0 degrees.jpeg,Plant 95,Ecoregion 92,Leaf 90,Nature 90,Natural landscape 90,Natural environment 89,Tree 88,Branch 88,Organism 86,Vegetation 85
long 16.9954475 lat 46.448384 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Infrastructure 90,Nature 90,Tree 89,Asphalt 89,Road surface 88,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.995455625 lat 46.44986375 viewpoint 0 degrees.jpeg,Cloud 97,Building 96,Sky 94,Property 94,Nature 90,Window 90,Tree 89,House 88,Neighbourhood 84,Asphalt 82
long 16.995455625 lat 46.44986375 viewpoint 180 degrees.jpeg,Plant 95,Ecoregion 93,Nature 90,Sky 88,Tree 87,Cloud 86,Natural landscape 84,Biome 83,Grass 83,Screenshot 83
long 16.995455625 lat 46.44986375 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Plant 95,Infrastructure 89,Asphalt 88,Tree 88,Road surface 86,Building 86,Urban design 83,Screenshot 82
long 16.995455625 lat 46.44986375 viewpoint 90 degrees.jpeg,Plant 96,Cloud 96,Sky 93,Tree 90,Infrastructure 90,Nature 90,Asphalt 87,Street light 87,Natural landscape 87,Lighting 86
long 16.9954598846154 lat 46.4484533846154 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.9954598846154 lat 46.4484533846154 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.9954598846154 lat 46.4484533846154 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.9954598846154 lat 46.4484533846154 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9954704222222 lat 46.4487324148148 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.9954704222222 lat 46.4487324148148 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.9954704222222 lat 46.4487324148148 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.9954704222222 lat 46.4487324148148 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9954743333333 lat 46.4484575555555 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.9954743333333 lat 46.4484575555555 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.9954743333333 lat 46.4484575555555 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.9954743333333 lat 46.4484575555555 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.995483025641 lat 46.4487191794872 viewpoint 0 degrees.jpeg,Plant 96,Plant community 93,Ecoregion 93,Leaf 90,Nature 90,Natural landscape 90,Botany 89,Tree 89,Branch 88,Organism 86
long 16.995483025641 lat 46.4487191794872 viewpoint 180 degrees.jpeg,World 93,Sky 93,Tree 88,Biome 84,Plant 82,Urban design 82,Asphalt 81,Font 80,Screenshot 80,Graphics software 77
long 16.995483025641 lat 46.4487191794872 viewpoint 270 degrees.jpeg,Plant 95,Sky 94,Asphalt 89,Tree 88,Road surface 88,Mode of transport 84,Natural landscape 84,Biome 83,Thoroughfare 82,Woody plant 81
long 16.995483025641 lat 46.4487191794872 viewpoint 90 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Nature 90,Tree 90,Asphalt 89,Road surface 89,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9954834897959 lat 46.4498605714286 viewpoint 0 degrees.jpeg,Plant 94,Cloud 93,Tree 87,Land lot 85,Biome 83,Building 83,Urban design 83,Sky 82,Street light 80,Adaptation 79
long 16.9954834897959 lat 46.4498605714286 viewpoint 180 degrees.jpeg,Plant 96,Cloud 94,Sky 90,Natural landscape 86,Tree 86,Biome 83,Screenshot 82,Font 82,Grass 81,Terrestrial plant 78
long 16.9954834897959 lat 46.4498605714286 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Street light 91,Infrastructure 89,Asphalt 89,Road surface 89,Plant 88,Building 87,Tree 83,Urban design 82
long 16.9954834897959 lat 46.4498605714286 viewpoint 90 degrees.jpeg,Sky 96,Cloud 95,Plant 95,Tree 89,Infrastructure 89,Asphalt 88,Road surface 87,Mode of transport 86,Urban design 84,Graphics software 83
long 16.9954848253968 lat 46.4486773968254 viewpoint 0 degrees.jpeg,Plant 95,Ecoregion 92,Leaf 90,Nature 90,Natural landscape 90,Natural environment 89,Tree 88,Branch 88,Organism 86,Vegetation 85
long 16.9954848253968 lat 46.4486773968254 viewpoint 180 degrees.jpeg,Sky 93,World 93,Light 91,Tree 88,Plant 86,Biome 85,Urban design 81,Screenshot 80,Asphalt 80,Font 79
long 16.9954848253968 lat 46.4486773968254 viewpoint 270 degrees.jpeg,Plant 96,Sky 93,Nature 90,Infrastructure 89,Asphalt 88,Tree 88,Road surface 87,Natural landscape 85,Biome 83,Woody plant 81
long 16.9954848253968 lat 46.4486773968254 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Infrastructure 90,Nature 90,Tree 89,Asphalt 89,Road surface 88,Sky 88,Motor vehicle 88,Natural landscape 85
long 16.9954854642857 lat 46.4498708333333 viewpoint 0 degrees.jpeg,Plant 94,Cloud 93,Tree 87,Land lot 85,Biome 83,Building 83,Urban design 83,Sky 82,Street light 80,Adaptation 79
long 16.9954854642857 lat 46.4498708333333 viewpoint 180 degrees.jpeg,Plant 96,Cloud 94,Sky 90,Natural landscape 86,Tree 86,Biome 83,Screenshot 82,Font 82,Grass 81,Terrestrial plant 78
long 16.9954854642857 lat 46.4498708333333 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Street light 91,Infrastructure 89,Asphalt 89,Road surface 89,Plant 88,Building 87,Tree 83,Urban design 82
long 16.9954854642857 lat 46.4498708333333 viewpoint 90 degrees.jpeg,Sky 96,Cloud 95,Plant 95,Tree 89,Infrastructure 89,Asphalt 88,Road surface 87,Mode of transport 86,Urban design 84,Graphics software 83
long 16.9954888571429 lat 46.449905 viewpoint 0 degrees.jpeg,Plant 94,Cloud 93,Tree 87,Sky 86,Land lot 85,Fence 83,Biome 83,Urban design 82,Building 81,House 81
long 16.9954888571429 lat 46.449905 viewpoint 180 degrees.jpeg,Cloud 94,Plant 93,Nature 90,Natural environment 89,Sky 88,Tree 87,Natural landscape 85,Font 83,Biome 83,Screenshot 82
long 16.9954888571429 lat 46.449905 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Street light 91,Plant 89,Infrastructure 89,Road surface 89,Asphalt 88,Lighting 87,Building 84,Mode of transport 84
long 16.9954888571429 lat 46.449905 viewpoint 90 degrees.jpeg,Sky 95,Plant 95,Cloud 94,Tree 89,Infrastructure 89,Asphalt 88,Mode of transport 86,Road surface 86,Urban design 85,Graphics software 84
long 16.9954950714286 lat 46.4498499375 viewpoint 0 degrees.jpeg,Plant 94,Cloud 93,Tree 87,Land lot 85,Biome 83,Building 83,Urban design 83,Sky 82,Street light 80,Adaptation 79
long 16.9954950714286 lat 46.4498499375 viewpoint 180 degrees.jpeg,Plant 96,Cloud 94,Sky 90,Natural landscape 86,Tree 86,Biome 83,Screenshot 82,Font 82,Grass 81,Terrestrial plant 78
long 16.9954950714286 lat 46.4498499375 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Street light 91,Infrastructure 89,Asphalt 89,Road surface 89,Plant 88,Building 87,Tree 83,Urban design 82
long 16.9954950714286 lat 46.4498499375 viewpoint 90 degrees.jpeg,Sky 96,Cloud 95,Plant 95,Tree 89,Infrastructure 89,Asphalt 88,Road surface 87,Mode of transport 86,Urban design 84,Graphics software 83
