long 16.98761775 lat 46.45527 viewpoint 270 degrees.jpeg,Cloud 93,Building 93,Infrastructure 89,Asphalt 88,Mode of transport 86,Road surface 86,Urban design 85,Thoroughfare 84,Sky 83,Car 82
long 16.98761775 lat 46.45527 viewpoint 90 degrees.jpeg,Cloud 96,Sky 95,Window 92,Infrastructure 89,Asphalt 89,Lighting 86,Road surface 86,Mode of transport 85,Screenshot 82,Thoroughfare 82
long 16.9876278333333 lat 46.455206 viewpoint 0 degrees.jpeg,Building 90,Urban design 84,Window 81,Screenshot 79,Font 76,Facade 74,Display device 70,City 69,Multimedia software 69,Multimedia 69
long 16.9876278333333 lat 46.455206 viewpoint 180 degrees.jpeg,Cloud 96,Sky 93,Light 91,Lighting 87,Asphalt 85,Urban design 85,Screenshot 83,Line 82,Font 81,Building 77
long 16.9876278333333 lat 46.455206 viewpoint 270 degrees.jpeg,Cloud 93,Building 93,Infrastructure 89,Asphalt 88,Mode of transport 86,Road surface 86,Urban design 85,Thoroughfare 84,Sky 83,Car 82
long 16.9876278333333 lat 46.455206 viewpoint 90 degrees.jpeg,Cloud 96,Sky 95,Window 92,Infrastructure 89,Asphalt 89,Lighting 86,Road surface 86,Mode of transport 85,Screenshot 82,Thoroughfare 82
long 16.9876342222222 lat 46.455152 viewpoint 0 degrees.jpeg,Building 90,Urban design 84,Window 81,Screenshot 79,Font 76,Facade 74,Display device 70,City 69,Multimedia software 69,Multimedia 69
long 16.9876342222222 lat 46.455152 viewpoint 180 degrees.jpeg,Cloud 96,Sky 93,Light 91,Infrastructure 89,Lighting 87,Asphalt 85,Urban design 85,Screenshot 83,Line 82,Font 81
long 16.9876342222222 lat 46.455152 viewpoint 270 degrees.jpeg,Cloud 93,Building 93,Infrastructure 89,Asphalt 88,Mode of transport 86,Road surface 86,Urban design 85,Thoroughfare 84,Sky 83,Car 82
long 16.9876342222222 lat 46.455152 viewpoint 90 degrees.jpeg,Cloud 96,Sky 95,Window 92,Infrastructure 89,Asphalt 89,Lighting 86,Road surface 86,Mode of transport 85,Screenshot 82,Thoroughfare 82
long 16.9876388125 lat 46.455278 viewpoint 0 degrees.jpeg,Building 90,Urban design 84,Window 81,Screenshot 79,Font 76,Facade 74,Display device 70,City 69,Multimedia software 69,Multimedia 69
long 16.9876388125 lat 46.455278 viewpoint 180 degrees.jpeg,Cloud 96,Sky 93,Light 91,Lighting 87,Asphalt 85,Urban design 85,Screenshot 83,Line 82,Font 81,Building 77
long 16.9876388125 lat 46.455278 viewpoint 270 degrees.jpeg,Cloud 93,Building 93,Infrastructure 89,Asphalt 88,Mode of transport 86,Road surface 86,Urban design 85,Thoroughfare 84,Sky 83,Car 82
long 16.9876388125 lat 46.455278 viewpoint 90 degrees.jpeg,Cloud 96,Sky 95,Window 92,Infrastructure 89,Asphalt 89,Lighting 86,Road surface 86,Mode of transport 85,Screenshot 82,Thoroughfare 82
long 16.987647 lat 46.455044 viewpoint 0 degrees.jpeg,Cloud 96,Building 95,Sky 90,Urban design 86,Asphalt 86,Tree 83,Line 82,Plant 81,Screenshot 80,Road 79
long 16.987647 lat 46.455044 viewpoint 180 degrees.jpeg,Photograph 94,Cloud 92,Sky 90,Infrastructure 90,Road surface 88,Asphalt 88,Mode of transport 86,Urban design 85,Tree 85,Thoroughfare 84
long 16.987647 lat 46.455044 viewpoint 270 degrees.jpeg,Cloud 95,Building 93,Sky 92,Infrastructure 89,Window 88,Asphalt 86,Urban design 85,Street light 84,Line 83,Road surface 82
long 16.987647 lat 46.455044 viewpoint 90 degrees.jpeg,Photograph 94,Window 93,Building 91,Urban design 85,Plant 84,Screenshot 81,Sidewalk 77,Tree 77,City 76,Asphalt 74
long 16.9876525 lat 46.455144 viewpoint 0 degrees.jpeg,Building 90,Urban design 84,Window 81,Screenshot 79,Font 76,Facade 74,Display device 70,City 69,Multimedia software 69,Multimedia 69
long 16.9876525 lat 46.455144 viewpoint 180 degrees.jpeg,Cloud 96,Sky 93,Light 91,Lighting 87,Asphalt 85,Urban design 85,Screenshot 83,Line 82,Font 81,Building 77
long 16.9876525 lat 46.455144 viewpoint 270 degrees.jpeg,Cloud 93,Building 93,Infrastructure 89,Asphalt 88,Mode of transport 86,Road surface 86,Urban design 85,Thoroughfare 84,Sky 83,Car 82
long 16.9876525 lat 46.455144 viewpoint 90 degrees.jpeg,Cloud 96,Sky 95,Window 92,Infrastructure 89,Asphalt 89,Lighting 86,Road surface 86,Mode of transport 85,Screenshot 82,Thoroughfare 82
long 16.987658 lat 46.455244 viewpoint 0 degrees.jpeg,Building 90,Urban design 84,Window 81,Screenshot 79,Font 76,Facade 74,Display device 70,City 69,Multimedia software 69,Multimedia 69
long 16.987658 lat 46.455244 viewpoint 180 degrees.jpeg,Cloud 96,Sky 93,Light 91,Lighting 87,Asphalt 85,Urban design 85,Screenshot 83,Line 82,Font 81,Building 77
