long 16.9909173857143 lat 46.4636201571429 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Window 92,Plant 91,Infrastructure 90,Road surface 89,Asphalt 88,Building 88
long 16.9909173857143 lat 46.4636201571429 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Light 91,Infrastructure 91,Sky 90,Cloud 90,Road surface 90,Nature 90,Asphalt 89,Tree 89
long 16.9909176188235 lat 46.4636731741176 viewpoint 0 degrees.jpeg,Property 94,Building 93,Window 90,Sky 88,House 85,Screenshot 82,Line 82,Facade 78,Font 77,Software 76
long 16.9909176188235 lat 46.4636731741176 viewpoint 180 degrees.jpeg,Plant 93,Tree 89,Infrastructure 89,Asphalt 88,Lighting 87,Mode of transport 86,Road surface 86,Screenshot 84,Urban design 82,Biome 82
long 16.9909176188235 lat 46.4636731741176 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Window 92,Plant 91,Infrastructure 90,Road surface 89,Asphalt 88,Building 88
long 16.9909176188235 lat 46.4636731741176 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Light 91,Infrastructure 91,Sky 90,Cloud 90,Road surface 90,Nature 90,Asphalt 89,Tree 89
long 16.990925706044 lat 46.463666293956 viewpoint 0 degrees.jpeg,Property 94,Building 93,Window 90,Sky 88,House 85,Screenshot 82,Line 82,Facade 78,Font 77,Software 76
long 16.990925706044 lat 46.463666293956 viewpoint 180 degrees.jpeg,Plant 93,Tree 89,Infrastructure 89,Asphalt 88,Lighting 87,Mode of transport 86,Road surface 86,Screenshot 84,Urban design 82,Biome 82
long 16.990925706044 lat 46.463666293956 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Window 92,Plant 91,Infrastructure 90,Road surface 89,Asphalt 88,Building 88
long 16.990925706044 lat 46.463666293956 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Cloud 91,Light 91,Infrastructure 91,Sky 90,Nature 90,Road surface 90,Asphalt 90,Tree 89
long 16.9909287857143 lat 46.4638670238095 viewpoint 0 degrees.jpeg,Property 94,Building 93,Window 90,Sky 88,House 85,Screenshot 82,Line 82,Facade 78,Font 77,Software 76
