long 16.9874102145749 lat 46.4551133562753 viewpoint 90 degrees.jpeg,Cloud 96,Car 93,Sky 93,Vehicle 92,Infrastructure 90,Asphalt 89,Window 88,Wheel 87,Road surface 87,Motor vehicle 86
long 16.9874107675439 lat 46.4551248640351 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Tree 86,Urban design 85,Window 82,Neighbourhood 81,City 78,Sidewalk 78,Metropolitan area 78,Road 77
long 16.9874107675439 lat 46.4551248640351 viewpoint 90 degrees.jpeg,Cloud 96,Car 93,Sky 93,Vehicle 92,Infrastructure 90,Asphalt 89,Window 88,Wheel 87,Road surface 87,Motor vehicle 86
long 16.9874113333333 lat 46.4551067916667 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Window 88,Urban design 85,Tree 85,Neighbourhood 81,Sidewalk 78,City 78,Road 77,Metropolitan area 77
long 16.9874113333333 lat 46.4551067916667 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 94,Vehicle 94,Wheel 94,Cloud 90,Infrastructure 89,Vehicle registration plate 88,Sky 88
long 16.9874113333333 lat 46.4551067916667 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Infrastructure 90,Sky 89,Window 89,Lighting 87,Asphalt 86,Road surface 86,Architecture 85,Urban design 85
long 16.9874113333333 lat 46.4551067916667 viewpoint 90 degrees.jpeg,Cloud 96,Car 94,Vehicle 92,Sky 92,Infrastructure 90,Asphalt 89,Window 89,Motor vehicle 87,Road surface 86,Wheel 86
long 16.9874208315789 lat 46.4553343052632 viewpoint 0 degrees.jpeg,Building 94,Urban design 80,Screenshot 80,Font 77,Window 76,Facade 71,Asphalt 70,Signage 68,Multimedia 66,Video game software 66
long 16.9874208315789 lat 46.4553343052632 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Building 90,Infrastructure 89,Asphalt 86,Urban design 84,Screenshot 83,Line 82,Public space 81,Font 81
long 16.9874208315789 lat 46.4553343052632 viewpoint 270 degrees.jpeg,Building 93,Car 90,Cloud 90,Infrastructure 90,Asphalt 88,Road surface 88,Mode of transport 86,Vehicle 84,Urban design 84,Motor vehicle 83
long 16.9874208315789 lat 46.4553343052632 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Window 90,Infrastructure 89,Building 89,Asphalt 89,Road surface 88,Mode of transport 85,Thoroughfare 84,Screenshot 82
long 16.98742112 lat 46.45525282 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Window 88,Urban design 85,Tree 85,Neighbourhood 81,Sidewalk 78,City 78,Road 77,Metropolitan area 77
long 16.98742112 lat 46.45525282 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 94,Vehicle 94,Wheel 94,Cloud 90,Infrastructure 89,Vehicle registration plate 88,Sky 88
long 16.98742112 lat 46.45525282 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Infrastructure 90,Sky 89,Window 89,Lighting 87,Asphalt 86,Road surface 86,Architecture 85,Urban design 85
long 16.98742112 lat 46.45525282 viewpoint 90 degrees.jpeg,Cloud 96,Car 94,Vehicle 92,Sky 92,Infrastructure 90,Asphalt 89,Window 89,Motor vehicle 87,Road surface 86,Wheel 86
long 16.9874223815789 lat 46.4550822302632 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Tree 86,Urban design 85,Window 82,Neighbourhood 81,City 78,Sidewalk 78,Metropolitan area 78,Road 77
long 16.9874223815789 lat 46.4550822302632 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 95,Wheel 94,Photograph 94,Vehicle 94,Cloud 91,Infrastructure 89,Window 86
long 16.9874223815789 lat 46.4550822302632 viewpoint 270 degrees.jpeg,Building 96,Cloud 96,Infrastructure 90,Sky 89,Window 88,Asphalt 87,Lighting 87,Road surface 86,Architecture 86,Urban design 85
long 16.9874223815789 lat 46.4550822302632 viewpoint 90 degrees.jpeg,Cloud 96,Car 93,Sky 93,Vehicle 92,Infrastructure 90,Asphalt 89,Window 88,Wheel 87,Road surface 87,Motor vehicle 86
